Metric,Segment Mean (SD)
Community Total Biomass,275.79 (508.35)
Community Total Density,35.61 (63.35)
Community Total Richness,3.04 (1.94)
SATI Biomass,21.08 (3.23)
SATI Density,20.92 (3.12)
% Cold Water Stenotherm Biomass,59.85 (37.40)
% Cold Water Stenotherm Density,49.84 (38.46)
% Tolerant Taxa Biomass,37.96 (33.68)
% Intolerant Taxa Biomass,54.70 (39.06)
% Tolerant Taxa Density,34.49 (32.32)
% Intolerant Taxa Density,49.22 (37.75)
Tolerant Taxa Richness,1.31 (0.72)
Intolerant Taxa Richness,1.18 (0.86)
