name,Sampled Segments,Unsampled Segments
Land Disturbance Index - HAiFLO,11.33 (1.58 40.19),2.20 (0.22 25.23)
Land Disturbance Index - HAiFLS,18.63 (2.84 61.07),3.86 (0.52 25.51)
AEC Baseflow Index in Reach Contributing Area,0.43 (0.15 0.70),0.50 (0.16 0.70)
AEC Baseflow Index in Upstream Catchment Area,0.46 (0.27 0.70),0.50 (0.23 0.68)
AEC Air Temperature Growing Degree Days in Catchment,"1,826.00 (1,154.10 2,017.95)","1,471.00 (1,016.00 2,025.00)"
AEC Channel Slope,0.50 (0.07 1.90),0.44 (0.02 3.44)
AEC Modeled Stream Temperature,18.40 (14.90 21.20),19.30 (16.00 22.70)
AEC Turbidity,0.00 (0.00 66.00),0.00 (0.00 96.00)
AEC Catchment Area,15.45 (2.00 218.99),4.20 (1.20 412.58)
OLCC Deciduous Treed - HAiFLO,1.84 (0.04 24.34),1.31 (0.00 30.47)
OLCC Deciduous Treed - HAiFLS,4.21 (0.24 21.28),4.42 (0.00 36.64)
OLCC Coniferous Treed - HAiFLO,1.05 (0.00 25.03),3.55 (0.00 41.69)
OLCC Coniferous Treed - HAiFLS,1.26 (0.00 14.25),5.41 (0.00 40.06)
OLCC Depletion/Disturbance - HAiFLO,0.00 (0.00 1.16),0.00 (0.00 14.79)
OLCC Depletion/Disturbance - HAiFLS,0.00 (0.00 5.09),0.00 (0.00 28.55)
OLCC Agriculture and Undifferentiated Rural - HAiFLO,20.58 (0.00 75.95),0.00 (0.00 83.28)
OLCC Agriculture and Undifferentiated Rural - HAiFLS,42.98 (0.00 83.10),0.00 (0.00 88.35)
"OLCC Mixed, Sparse, Upland, Plantations Treed - HAiFLO",6.60 (0.25 49.57),13.92 (0.05 70.07)
"OLCC Mixed, Sparse, Upland, Plantations Treed - HAiFLS",6.85 (0.47 46.78),21.91 (0.16 66.88)
OLCC Urban Developed - HAiFLO,3.19 (0.00 48.14),0.00 (0.00 8.43)
OLCC Urban Developed - HAiFLS,4.46 (0.00 76.49),0.00 (0.00 7.81)
"OLCC Clear Open, Turbid Water - HAiFLO",0.13 (0.00 36.20),11.99 (0.00 83.74)
"OLCC Clear Open, Turbid Water - HAiFLS",0.23 (0.00 14.75),7.55 (0.00 49.76)
"OLCC Marsh, Swamp, Fen, Bog - HAiFLO",30.18 (0.16 81.22),3.97 (0.00 63.25)
"OLCC Marsh, Swamp, Fen, Bog - HAiFLS",14.61 (0.16 54.97),5.25 (0.00 52.52)
