Category,Name,Desctiption,Weighting,Source
Taxonomic and Ecological Information,tx_Taxa,Species Name,none,FWIS / SOSMART
Taxonomic and Ecological Information,tx_Family,Family Name,none,FWIS / SOSMART
Taxonomic and Ecological Information,tx_Tolerance,Tolerant / Intolerant / Intermediate,none,FWIS / SOSMART
Taxonomic and Ecological Information,tx_Trophic_Class,invertivore / carnivore / detritivore / planktivore / herbivore,none,FWIS / SOSMART
Taxonomic and Ecological Information,tx_Thermal_Regime,coldwater / coolwater / warmwater,none,FWIS / SOSMART
Taxonomic and Ecological Information,tx_General_Habitat,lacustrine / riverine / estuarine / marine,none,FWIS / SOSMART
Taxonomic and Ecological Information,tx_Environment,benthic / benthopelagic / pelagic,none,FWIS / SOSMART
Taxonomic and Ecological Information,tx_Repro_1,Guarders / Nonguarders,none,FWIS / SOSMART
Taxonomic and Ecological Information,tx_Repro_2,Brood hiders / Nest spawners / Open substratum spawners / Substratum choosers,none,FWIS / SOSMART
Taxonomic and Ecological Information,tx_Repro_3,Ariadnophils / Litho-pelagophils / Lithophils / Phytophils / Polyphils / Speleophils,none,FWIS / SOSMART
Aquatic Ecosystem Classification,hb_Temperature,See AEC Documentation,none,Ontario Aquatic Ecosystem Classification
Aquatic Ecosystem Classification,hb_GDDair_UpstreamCatchmentMean,See AEC Documentation,none,Ontario Aquatic Ecosystem Classification
Aquatic Ecosystem Classification,hb_Turbidity,See AEC Documentation,none,Ontario Aquatic Ecosystem Classification
Aquatic Ecosystem Classification,hb_Slope,See AEC Documentation,none,Ontario Aquatic Ecosystem Classification
Aquatic Ecosystem Classification,hb_BFI_RCA,See AEC Documentation,none,Ontario Aquatic Ecosystem Classification
Aquatic Ecosystem Classification,hb_BFI_UCA,See AEC Documentation,none,Ontario Aquatic Ecosystem Classification
Aquatic Ecosystem Classification,hb_UCA,See AEC Documentation,none,Ontario Aquatic Ecosystem Classification
Aquatic Ecosystem Classification,hb_Temperature_Class,See AEC Documentation,none,Ontario Aquatic Ecosystem Classification
Aquatic Ecosystem Classification,hb_Lake_Inf,See AEC Documentation,none,Ontario Aquatic Ecosystem Classification
Aquatic Ecosystem Classification,hb_Wadeability,See AEC Documentation,none,Ontario Aquatic Ecosystem Classification
Broad Landcover Categories,br_Agricultural_HAiFLS_prop,"OLCC: 16, 28",HAiFLS,Ontario Landcover Compilation V2 (OLCC)
Broad Landcover Categories,br_Agricultural_HAiFLO_prop,"OLCC: 16, 28",HAIFLO,Ontario Landcover Compilation V2 (OLCC)
