Layer,Code,Label,Priority,LDI,BK_Label,BC_BroadLabel
AAFC,10,Cloud / Nuages,AAFC,,Cloud,NA
AAFC,20,Water / Eau,SOLRIS,,Water,Natural
AAFC,30,Exposed Land and Barren / Sols nus et terres stériles,SOLRIS,,ExposedLandBarren,NonNatural
AAFC,34,Urban and Developed / Milieu urbain et bâti,SOLRIS,,UrbanDeveloped,Urban
AAFC,35,Greenhouses / Serres,SOLRIS,,MixedAgriculture,Agricultural
AAFC,50,Shrubland / Arbustaie,SOLRIS,,MixedForest,Natural
AAFC,80,Wetland / Terres humides,SOLRIS,,Wetland,Natural
AAFC,110,Grassland / Prairies,AAFC,,Grassland,Natural
AAFC,120,Agriculture (undifferentiated) / Agriculture (indifférenciée),SOLRIS,,MixedAgriculture,Agricultural
AAFC,122,Pasture and Forages / Pâturage et Cultures fourragères,SOLRIS,,MixedAgriculture,Agricultural
AAFC,130,Too Wet to be Seeded / Trop humide pour l’ensemencement,SOLRIS,,MixedAgriculture,Agricultural
AAFC,131,Fallow / Jachère,AAFC,,MixedAgriculture,Agricultural
AAFC,132,Cereals / Céréales,AAFC,,MixedAgriculture,Agricultural
AAFC,133,Barley / Orge,AAFC,,MixedAgriculture,Agricultural
AAFC,134,Other Grains / Autres céréales,AAFC,,MixedAgriculture,Agricultural
AAFC,135,Millet / Millet,AAFC,,MixedAgriculture,Agricultural
AAFC,136,Oats / Avoine,AAFC,,MixedAgriculture,Agricultural
AAFC,137,Rye / Seigle,AAFC,,MixedAgriculture,Agricultural
AAFC,138,Spelt / Épeautre,AAFC,,MixedAgriculture,Agricultural
AAFC,139,Triticale / Triticale,AAFC,,MixedAgriculture,Agricultural
AAFC,140,Wheat / Blé,AAFC,,MixedAgriculture,Agricultural
AAFC,141,Switchgrass / Panic érigé,AAFC,,MixedAgriculture,Agricultural
AAFC,142,Sorghum / Sorgho,AAFC,,MixedAgriculture,Agricultural
AAFC,145,Winter Wheat / Blé d'hiver,AAFC,,MixedAgriculture,Agricultural
