Taxa,Segment Percent Occupancy,Included in Model,Segment Total Biomass Mean,Segment Total Density Mean,Segment Total Biomass SD,Segment Total Density SD
Creek Chub,64.57%,TRUE,31.02,11.28,15.06,6.93
White Sucker,52.50%,TRUE,15.9,6.26,16.77,6.91
Brook Stickleback,33.41%,TRUE,4.06,2.61,10.96,6.23
Sculpin Cottus,29.25%,TRUE,4.23,2.05,13.38,5.19
Johnny/tesselated Darter,28.60%,TRUE,3.59,2.01,11.33,5.3
Common Shiner,26.87%,TRUE,3.05,1.68,10.27,4.69
Central Mudminnow,23.84%,TRUE,2.45,1.5,9.33,4.82
Brook (speckled) Trout,21.52%,TRUE,2.21,1.04,9.16,3.26
Pumpkinseed,18.85%,TRUE,1.56,0.88,6.97,3.16
Rainbow Trout (steelhead),18.73%,TRUE,1.79,0.99,8.1,3.47
Rock Bass,15.81%,TRUE,1.28,0.69,6.27,2.68
Rainbow Darter,13.50%,TRUE,1.05,0.63,5.46,2.64
Brown Trout,11.18%,TRUE,0.91,0.48,5.53,2.14
Fantail Darter,7.43%,FALSE,0.47,0.3,3.1,1.61
Largemouth Bass,6.96%,FALSE,0.39,0.24,2.56,1.38
Ichthyomyzon,5.41%,FALSE,0.32,0.19,2.36,1.15
Yellow Perch,5.29%,FALSE,0.28,0.17,2.01,1.07
Northern Hog Sucker,4.82%,FALSE,0.29,0.18,2.22,1.12
Smallmouth Bass,4.70%,FALSE,0.25,0.15,1.86,0.99
Central Stoneroller,3.69%,FALSE,0.21,0.15,1.72,1.07
Logperch,3.51%,FALSE,0.19,0.11,1.56,0.83
Iowa Darter,2.50%,FALSE,0.14,0.1,1.4,0.89
Blackside Darter,2.44%,FALSE,0.14,0.09,1.36,0.79
Atlantic Salmon (ouananiche),1.90%,FALSE,0.11,0.07,1.17,0.63
Northern Pike,1.61%,FALSE,0.07,0.04,0.81,0.4
Chinook Salmon,1.55%,FALSE,0.08,0.05,0.89,0.54
Green Sunfish,1.55%,FALSE,0.08,0.05,0.85,0.52
Common Carp,1.49%,FALSE,0.08,0.05,0.86,0.56
Bluegill,1.31%,FALSE,0.07,0.04,0.79,0.47
Coho Salmon,1.31%,FALSE,0.07,0.04,0.81,0.49
Fallfish,1.25%,FALSE,0.07,0.04,0.82,0.47
Redside Dace,1.19%,FALSE,0.06,0.05,0.82,0.56
Round Goby,1.01%,FALSE,0.04,0.02,0.47,0.25
Burbot (ling),0.95%,FALSE,0.04,0.03,0.6,0.32
Black Crappie,0.65%,FALSE,0.02,0.01,0.34,0.22
Greenside Darter,0.65%,FALSE,0.04,0.03,0.62,0.4
Lamprey,0.54%,FALSE,0.02,0.02,0.4,0.26
Goldfish,0.48%,FALSE,0.02,0.01,0.41,0.25
Least Darter,0.42%,FALSE,0.02,0.02,0.41,0.32
Longnose Sucker,0.36%,FALSE,0.02,0.01,0.36,0.24
Lake Chub,0.30%,FALSE,0.02,0.01,0.34,0.24
Threespine Stickleback,0.18%,FALSE,0.01,0.01,0.19,0.16
Northern Sunfish,0.12%,FALSE,0.01,0,0.19,0.15
Brook Silverside,0.06%,FALSE,0,0,0.04,0.04
Cutlip Minnow,0.06%,FALSE,0,0,0.05,0.03
Fourspine Stickleback,0.06%,FALSE,0,0,0.14,0.12
Lake Chubsucker,0.06%,FALSE,0,0,0.05,0.03
Longnose Gar,0.06%,FALSE,0,0,0.15,0.03
Muskellunge (muskie),0.06%,FALSE,0,0,0.17,0.12
Walleye (yellow pickerel),0.06%,FALSE,0,0,0.11,0.08
Warmouth,0.06%,FALSE,0,0,0.12,0.07
Alewife,0.00%,FALSE,0,0,0,0
American Eel,0.00%,FALSE,0,0,0,0
Eastern Sand Darter,0.00%,FALSE,0,0,0,0
Freshwater Drum (sheepshead),0.00%,FALSE,0,0,0,0
Gizzard Shad,0.00%,FALSE,0,0,0,0
Grass Pickerel,0.00%,FALSE,0,0,0,0
Ninespine Stickleback,0.00%,FALSE,0,0,0,0
Quillback,0.00%,FALSE,0,0,0,0
Rainbow Smelt,0.00%,FALSE,0,0,0,0
Sauger,0.00%,FALSE,0,0,0,0
Shortjaw Cisco,0.00%,FALSE,0,0,0,0
White Bass,0.00%,FALSE,0,0,0,0
White Crappie,0.00%,FALSE,0,0,0,0
